Scenario,Site ID,Product Group,Tank Product,Daily Volume (gal),Monthly Volume (gal 30 day),Daily Volume(b),Monthyl Volume (30 day b),Terminal,Freight Cost (30 days),Product Cost (30 days),Total Cost (30 days),Latitude,Longitude,Assigned Carrier,Home TCN,Home Terminal ,New TCN,New Terminal,Change?,Combo Terminal,Home Terminal City,New Terminal City,City Change?,City Change,Primary Terminal Miles,New Terminal Miles,Miles Diff,Primary Terminal Drivetime,New Terminal Drivetime,Drivetime Diff,Primary Freight Rate,New Freight Rate,Combo Freight Rate,Freight Rate Diff,Freight Rate Change?,Freight Rate Decrease?,Primary Terminal Freight Spend per Day,New Terminal Freight Spend per Day,Projected Freight Spend Change per Day,Primary Supply Rate,New Supply Rate,Combo Supply Rate,Supply Rate Diff,Supply Rate Change?,Supply Rate Decrease?,Primary Terminal Supply Spend per Day,New Terminal Supply Spend per Day,Projected Supply Spend Change per Day,Regular TCN,Premium Diff from Regular,New Premium TCN,New Premium Terminal,Total Cost (Regular + Premium Same TCN),Brand
Today,32639,Regular,GAS,1102,33060,26,787,T-23-PA-1734711PA,1074.45,1892.685,2967.135,40.1558,-74.9224,Regular,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,30,30,0,44,44,0,0.0325,0.0325,0.032-->0.032,0,FALSE,FALSE,35.815,35.815,0,0.0573,0.0573,0.05725-->0.05725,0,FALSE,FALSE,63.0895,63.0895,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,2967.134961,7-Eleven
Today,32639,Premium,GAS,434,13020,10,310,T-23-PA-1734711PA,423.15,439.425,862.575,40.1558,-74.9224,Premium,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,30,30,0,44,44,0,0.0325,0.0325,0.032-->0.032,0,FALSE,FALSE,14.105,14.105,0,0.0338,0.0338,0.03375-->0.03375,0,FALSE,FALSE,14.6475,14.6475,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,862.5749845,7-Eleven
Today,32661,Regular,GAS,931,27930,22,665,T-23-PA-1734711PA,740.145,1598.9925,2339.1375,40.0517,-75.0083,Regular,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,19.39999962,19.39999962,0,29,29,0,0.0265,0.0265,0.026-->0.026,0,FALSE,FALSE,24.6715,24.6715,0,0.0573,0.0573,0.05725-->0.05725,0,FALSE,FALSE,53.2998,53.2998,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,2339.137491,7-Eleven
Today,32661,Premium,GAS,519,15570,12,371,T-23-PA-1734711PA,412.605,525.4875,938.0925,40.0517,-75.0083,Premium,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,19.39999962,19.39999962,0,29,29,0,0.0265,0.0265,0.026-->0.026,0,FALSE,FALSE,13.7535,13.7535,0,0.0338,0.0338,0.03375-->0.03375,0,FALSE,FALSE,17.5162,17.5162,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,938.0924951,7-Eleven
Today,40071,Regular,GAS,1376,41280,33,983,T-22-NJ-1544SunNJ,2336.448,891.2352,3227.6832,39.2522,-74.6118,Regular,T-22-NJ-1544SunNJ,Westville NJ ETMT,T-22-NJ-1544SunNJ,Westville NJ ETMT,FALSE,Westville NJ ETMT-->Westville NJ ETMT,Westville,Westville,FALSE,Westville-->Westville,63.1,63.1,0,74,74,0,0.0566,0.0566,0.057-->0.057,0,FALSE,FALSE,77.8816,77.8816,0,0.0216,0.0216,0.02159-->0.02159,0,FALSE,FALSE,29.7078,29.7078,0,T-22-NJ-1544SunNJ,FALSE,T-22-NJ-1544SunNJ,Westville NJ ETMT,3227.683229,Sunoco
Today,40071,Premium,GAS,577,17310,14,412,T-22-NJ-1544SunNJ,979.746,1691.7063,2671.4523,39.2522,-74.6118,Premium,T-22-NJ-1544SunNJ,Westville NJ ETMT,T-22-NJ-1544SunNJ,Westville NJ ETMT,FALSE,Westville NJ ETMT-->Westville NJ ETMT,Westville,Westville,FALSE,Westville-->Westville,63.1,63.1,0,74,74,0,0.0566,0.0566,0.057-->0.057,0,FALSE,FALSE,32.6582,32.6582,0,0.0977,0.0977,0.09773-->0.09773,0,FALSE,FALSE,56.3902,56.3902,0,T-22-NJ-1544SunNJ,FALSE,T-22-NJ-1544SunNJ,Westville NJ ETMT,2671.452312,Sunoco
Today,40071,Diesel,DSL,126,3780,3,90,T-22-NJ-1544SunNJ,247.212,74.466,321.678,39.2522,-74.6118,Diesel,T-22-NJ-1544SunNJ,Westville NJ ETMT,T-22-NJ-1544SunNJ,Westville NJ ETMT,FALSE,Westville NJ ETMT-->Westville NJ ETMT,Westville,Westville,FALSE,Westville-->Westville,63.1,63.1,0,74,74,0,0.0566,0.0566,0.057-->0.057,0,FALSE,FALSE,8.2404,8.2404,0,0.0197,0.0197,0.0197-->0.0197,0,FALSE,FALSE,2.4822,2.4822,0,T-22-NJ-1544SunNJ,FALSE,T-22-NJ-1544SunNJ,Westville NJ ETMT,321.6779884,Sunoco
Today,40072,Regular,GAS,5638,169140,134,4027,T-23-PA-1734SunPA,4076.274,9683.265,13759.539,40.0247,-75.23,Regular,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,12.89999962,12.89999962,0,20,20,0,0.0241,0.0241,0.024-->0.024,0,FALSE,FALSE,135.8758,135.8758,0,0.0573,0.0573,0.05725-->0.05725,0,FALSE,FALSE,322.7755,322.7755,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,13759.53901,Sunoco
Today,40072,Premium,GAS,295,8850,7,211,T-23-PA-1734SunPA,213.285,1015.5375,1228.8225,40.0247,-75.23,Premium,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,12.89999962,12.89999962,0,20,20,0,0.0241,0.0241,0.024-->0.024,0,FALSE,FALSE,7.1095,7.1095,0,0.1148,0.1148,0.11475-->0.11475,0,FALSE,FALSE,33.8513,33.8513,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,1228.8225,Sunoco
Today,40072,Diesel,DSL,241,7230,6,172,T-23-PA-1734SunPA,200.994,195.6438,396.6378,40.0247,-75.23,Diesel,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,12.89999962,12.89999962,0,20,20,0,0.0241,0.0241,0.024-->0.024,0,FALSE,FALSE,6.6998,6.6998,0,0.0271,0.0271,0.02706-->0.02706,0,FALSE,FALSE,6.5215,6.5215,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,396.6377952,Sunoco
Today,40074,Regular,GAS,4749,142470,113,3392,T-23-PA-1734SunPA,3775.455,8156.4075,11931.8625,40.069,-75.1814,Regular,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,17.79999924,17.79999924,0,35,35,0,0.0265,0.0265,0.026-->0.026,0,FALSE,FALSE,125.8485,125.8485,0,0.0573,0.0573,0.05725-->0.05725,0,FALSE,FALSE,271.8802,271.8802,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,11931.86246,Sunoco
Today,40074,Premium,GAS,464,13920,11,331,T-23-PA-1734SunPA,368.88,1597.32,1966.2,40.069,-75.1814,Premium,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,17.79999924,17.79999924,0,35,35,0,0.0265,0.0265,0.026-->0.026,0,FALSE,FALSE,12.296,12.296,0,0.1148,0.1148,0.11475-->0.11475,0,FALSE,FALSE,53.244,53.244,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,1966.199996,Sunoco
Today,40074,Diesel,DSL,195,5850,5,139,T-23-PA-1734SunPA,180.18,158.301,338.481,40.069,-75.1814,Diesel,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,17.79999924,17.79999924,0,35,35,0,0.0265,0.0265,0.026-->0.026,0,FALSE,FALSE,6.006,6.006,0,0.0271,0.0271,0.02706-->0.02706,0,FALSE,FALSE,5.2767,5.2767,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,338.480999,Sunoco
Today,40075,Regular,GAS,1661,49830,40,1186,T-23-PA-1722SunPA,1320.495,1946.3598,3266.8548,40.1747,-75.6624,Regular,T-23-PA-1722SunPA,Malvern PA ETMT,T-23-PA-1722SunPA,Malvern PA ETMT,FALSE,Malvern PA ETMT-->Malvern PA ETMT,Malvern,Malvern,FALSE,Malvern-->Malvern,19.20000076,19.20000076,0,26,26,0,0.0265,0.0265,0.026-->0.026,0,FALSE,FALSE,44.0165,44.0165,0,0.0391,0.0391,0.03906-->0.03906,0,FALSE,FALSE,64.8787,64.8787,0,T-23-PA-1722SunPA,FALSE,T-23-PA-1722SunPA,Malvern PA ETMT,3266.854784,Sunoco
Today,40075,Premium,GAS,527,15810,13,376,T-23-PA-1722SunPA,418.965,1785.4233,2204.3883,40.1747,-75.6624,Premium,T-23-PA-1722SunPA,Malvern PA ETMT,T-23-PA-1722SunPA,Malvern PA ETMT,FALSE,Malvern PA ETMT-->Malvern PA ETMT,Malvern,Malvern,FALSE,Malvern-->Malvern,19.20000076,19.20000076,0,26,26,0,0.0265,0.0265,0.026-->0.026,0,FALSE,FALSE,13.9655,13.9655,0,0.1129,0.1129,0.11293-->0.11293,0,FALSE,FALSE,59.5141,59.5141,0,T-23-PA-1722SunPA,FALSE,T-23-PA-1722SunPA,Malvern PA ETMT,2204.388295,Sunoco
Today,40075,Diesel,DSL,1019,30570,24,728,T-23-PA-1746SunPA,1259.484,643.8042,1903.2882,40.1747,-75.6624,Diesel,T-23-PA-1746SunPA,Twin Oaks PA ETMT,T-23-PA-1746SunPA,Twin Oaks PA ETMT,FALSE,Twin Oaks PA ETMT-->Twin Oaks PA ETMT,Twin,Twin,FALSE,Twin-->Twin,32.09999847,32.09999847,0,43,43,0,0.0354,0.0354,0.035-->0.035,0,FALSE,FALSE,41.9828,41.9828,0,0.0211,0.0211,0.02106-->0.02106,0,FALSE,FALSE,21.4601,21.4601,0,T-23-PA-1722SunPA,FALSE,T-23-PA-1746SunPA,Twin Oaks PA ETMT,1903.288224,Sunoco
Today,40091,Regular,GAS,4782,143460,114,3416,T-23-PA-1734SunPA,3270.8881,8213.085,11483.9731,39.9364,-75.1604,Regular,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,6.300000191,6.300000191,0,18,18,0,0.0228,0.0228,0.023-->0.023,0,FALSE,FALSE,109.0296,109.0296,0,0.0573,0.0573,0.05725-->0.05725,0,FALSE,FALSE,273.7695,273.7695,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,11483.97306,Sunoco
Today,40091,Premium,GAS,650,19500,15,464,T-23-PA-1734SunPA,444.6,2237.625,2682.225,39.9364,-75.1604,Premium,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,6.300000191,6.300000191,0,18,18,0,0.0228,0.0228,0.023-->0.023,0,FALSE,FALSE,14.82,14.82,0,0.1148,0.1148,0.11475-->0.11475,0,FALSE,FALSE,74.5875,74.5875,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,2682.225007,Sunoco
Today,40091,Diesel,DSL,85,2550,2,61,T-23-PA-1734SunPA,67.32,69.003,136.323,39.9364,-75.1604,Diesel,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,6.300000191,6.300000191,0,18,18,0,0.0228,0.0228,0.023-->0.023,0,FALSE,FALSE,2.244,2.244,0,0.0271,0.0271,0.02706-->0.02706,0,FALSE,FALSE,2.3001,2.3001,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,136.3229996,Sunoco
Today,40093,Regular,GAS,2868,86040,68,2049,T-23-PA-1722SunPA,1961.712,3360.7224,5322.4344,40.0786,-75.6338,Regular,T-23-PA-1722SunPA,Malvern PA ETMT,T-23-PA-1722SunPA,Malvern PA ETMT,FALSE,Malvern PA ETMT-->Malvern PA ETMT,Malvern,Malvern,FALSE,Malvern-->Malvern,7.599999905,7.599999905,0,12,12,0,0.0228,0.0228,0.023-->0.023,0,FALSE,FALSE,65.3904,65.3904,0,0.0391,0.0391,0.03906-->0.03906,0,FALSE,FALSE,112.0241,112.0241,0,T-23-PA-1722SunPA,FALSE,T-23-PA-1722SunPA,Malvern PA ETMT,5322.434433,Sunoco
Today,40093,Premium,GAS,344,10320,8,246,T-23-PA-1722SunPA,235.296,1165.4376,1400.7336,40.0786,-75.6338,Premium,T-23-PA-1722SunPA,Malvern PA ETMT,T-23-PA-1722SunPA,Malvern PA ETMT,FALSE,Malvern PA ETMT-->Malvern PA ETMT,Malvern,Malvern,FALSE,Malvern-->Malvern,7.599999905,7.599999905,0,12,12,0,0.0228,0.0228,0.023-->0.023,0,FALSE,FALSE,7.8432,7.8432,0,0.1129,0.1129,0.11293-->0.11293,0,FALSE,FALSE,38.8479,38.8479,0,T-23-PA-1722SunPA,FALSE,T-23-PA-1722SunPA,Malvern PA ETMT,1400.733604,Sunoco
Today,40093,Diesel,DSL,199,5970,5,142,T-23-PA-1746SunPA,203.577,125.7282,329.3052,40.0786,-75.6338,Diesel,T-23-PA-1746SunPA,Twin Oaks PA ETMT,T-23-PA-1746SunPA,Twin Oaks PA ETMT,FALSE,Twin Oaks PA ETMT-->Twin Oaks PA ETMT,Twin,Twin,FALSE,Twin-->Twin,24.29999924,24.29999924,0,33,33,0,0.0292,0.0292,0.029-->0.029,0,FALSE,FALSE,6.7859,6.7859,0,0.0211,0.0211,0.02106-->0.02106,0,FALSE,FALSE,4.1909,4.1909,0,T-23-PA-1722SunPA,FALSE,T-23-PA-1746SunPA,Twin Oaks PA ETMT,329.3051989,Sunoco
Today,40097,Regular,GAS,3244,97320,77,2317,T-23-PA-1734SunPA,3445.1279,5571.57,9016.6979,40.2149,-75.0099,Regular,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,34.90000153,34.90000153,0,51,51,0,0.0354,0.0354,0.035-->0.035,0,FALSE,FALSE,114.8376,114.8376,0,0.0573,0.0573,0.05725-->0.05725,0,FALSE,FALSE,185.719,185.719,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,9016.697948,Sunoco
Today,40097,Premium,GAS,43,1290,1,31,T-23-PA-1734SunPA,45.666,148.0275,193.6935,40.2149,-75.0099,Premium,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,34.90000153,34.90000153,0,51,51,0,0.0354,0.0354,0.035-->0.035,0,FALSE,FALSE,1.5222,1.5222,0,0.1148,0.1148,0.11475-->0.11475,0,FALSE,FALSE,4.9343,4.9343,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,193.6934993,Sunoco
Today,40097,Diesel,DSL,238,7140,6,170,T-23-PA-1734SunPA,294.168,193.2084,487.3764,40.2149,-75.0099,Diesel,T-23-PA-1734SunPA,Philadelphia PA ETMT,T-23-PA-1734SunPA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,34.90000153,34.90000153,0,51,51,0,0.0354,0.0354,0.035-->0.035,0,FALSE,FALSE,9.8056,9.8056,0,0.0271,0.0271,0.02706-->0.02706,0,FALSE,FALSE,6.4403,6.4403,0,T-23-PA-1734SunPA,FALSE,T-23-PA-1734SunPA,Philadelphia PA ETMT,487.3764057,Sunoco
Today,40100,Regular,GAS,3588,107640,85,2563,T-23-PA-1722SunPA,2454.192,4204.4184,6658.6104,40.0949,-75.3637,Regular,T-23-PA-1722SunPA,Malvern PA ETMT,T-23-PA-1722SunPA,Malvern PA ETMT,FALSE,Malvern PA ETMT-->Malvern PA ETMT,Malvern,Malvern,FALSE,Malvern-->Malvern,9.699999809,9.699999809,0,13,13,0,0.0228,0.0228,0.023-->0.023,0,FALSE,FALSE,81.8064,81.8064,0,0.0391,0.0391,0.03906-->0.03906,0,FALSE,FALSE,140.1473,140.1473,0,T-23-PA-1722SunPA,FALSE,T-23-PA-1722SunPA,Malvern PA ETMT,6658.610441,Sunoco
Today,40100,Premium,GAS,522,15660,12,373,T-23-PA-1722SunPA,357.048,1768.4838,2125.5318,40.0949,-75.3637,Premium,T-23-PA-1722SunPA,Malvern PA ETMT,T-23-PA-1722SunPA,Malvern PA ETMT,FALSE,Malvern PA ETMT-->Malvern PA ETMT,Malvern,Malvern,FALSE,Malvern-->Malvern,9.699999809,9.699999809,0,13,13,0,0.0228,0.0228,0.023-->0.023,0,FALSE,FALSE,11.9016,11.9016,0,0.1129,0.1129,0.11293-->0.11293,0,FALSE,FALSE,58.9495,58.9495,0,T-23-PA-1722SunPA,FALSE,T-23-PA-1722SunPA,Malvern PA ETMT,2125.531806,Sunoco
